Codigo IBGE;IDADE;SEXO;COR;homic;Nome;IDH;Populacao
330023;8;1;1;1;Armaퟭo dos Bퟺios;0,728;174
330023;8;1;2;0;Armaퟭo dos Bퟺios;0,728;43
330023;8;1;3;0;Armaퟭo dos Bퟺios;0,728;93
330023;9;0;1;0;Armaퟭo dos Bퟺios;0,728;74
330023;9;0;2;0;Armaퟭo dos Bퟺios;0,728;13
330023;9;0;3;0;Armaퟭo dos Bퟺios;0,728;32
330023;9;1;1;0;Armaퟭo dos Bퟺios;0,728;44
330023;9;1;2;0;Armaퟭo dos Bퟺios;0,728;7
330023;9;1;3;0;Armaퟭo dos Bퟺios;0,728;18
330023;10;0;1;0;Armaퟭo dos Bퟺios;0,728;7
330023;10;0;2;0;Armaퟭo dos Bퟺios;0,728;2
330023;10;0;3;0;Armaퟭo dos Bퟺios;0,728;7
330023;10;1;1;0;Armaퟭo dos Bퟺios;0,728;7
330023;10;1;2;0;Armaퟭo dos Bퟺios;0,728;0
330023;10;1;3;0;Armaퟭo dos Bퟺios;0,728;2
330025;1;0;1;0;Arraial do Cabo;0,733;1066
330025;1;0;2;0;Arraial do Cabo;0,733;103
330025;1;0;3;0;Arraial do Cabo;0,733;695
330025;1;1;1;0;Arraial do Cabo;0,733;1101
330025;1;1;2;0;Arraial do Cabo;0,733;81
330025;1;1;3;0;Arraial do Cabo;0,733;742
330025;2;0;1;0;Arraial do Cabo;0,733;1226
330025;2;0;2;0;Arraial do Cabo;0,733;169
330025;2;0;3;0;Arraial do Cabo;0,733;917
330025;2;1;1;2;Arraial do Cabo;0,733;1220
330025;2;1;2;3;Arraial do Cabo;0,733;165
330025;2;1;3;0;Arraial do Cabo;0,733;903
330025;3;0;1;0;Arraial do Cabo;0,733;1131
330025;3;0;2;0;Arraial do Cabo;0,733;196
330025;3;0;3;0;Arraial do Cabo;0,733;731
330025;3;1;1;2;Arraial do Cabo;0,733;1087
330025;3;1;2;5;Arraial do Cabo;0,733;189
330025;3;1;3;0;Arraial do Cabo;0,733;823
330025;4;0;1;0;Arraial do Cabo;0,733;1183
330025;4;0;2;0;Arraial do Cabo;0,733;179
330025;4;0;3;0;Arraial do Cabo;0,733;804
330025;4;1;1;2;Arraial do Cabo;0,733;1058
330025;4;1;2;1;Arraial do Cabo;0,733;203
330025;4;1;3;0;Arraial do Cabo;0,733;762
330025;5;0;1;1;Arraial do Cabo;0,733;1240
330025;5;0;2;0;Arraial do Cabo;0,733;184
330025;5;0;3;0;Arraial do Cabo;0,733;750
330025;5;1;1;2;Arraial do Cabo;0,733;1067
