ANO;MES;LATITUDE;LONGITUDE
2016;12;-23,60216;-46,52861
2016; 1;-23,58868;-46,49550
2016;10;-23,50867;-46,62492
2016;12;-23,54993;-46,67934
2016; 1;-23,48678;-46,68597
2016; 9;-23,52328;-46,53479
2016;12;-23,58283;-46,56861
2016;12;-23,77227;-46,69004
2016; 1;-23,51122;-46,43162
2016; 7;-23,52284;-46,41978
2016; 2;-23,62828;-46,59510
2016; 5;-23,49848;-46,40233
2016; 6;-23,59620;-46,73943
2016; 4;-23,66429;-46,79051
2016; 4;-23,53355;-46,54336
2016; 6;-23,55474;-46,66331
2016; 2;-23,58663;-46,72424
2016; 5;-23,68759;-46,64019
2016; 7;-23,62583;-46,63898
2016; 5;-23,50237;-46,48044
2016; 2;-23,54530;-46,51035
2016; 1;-23,43582;-46,74070
2016; 3;-23,62674;-46,63667
2016; 4;-23,63323;-46,76491
2016; 2;-23,60934;-46,52423
2016; 9;-23,66119;-46,75237
2016; 1;-23,71221;-46,78120
2016; 5;-23,50194;-46,62472
2016;12;-23,61292;-46,60938
2016; 1;-23,46663;-46,57426
2016; 3;-23,53275;-46,69920
2016; 1;-23,64768;-46,60719
2016; 5;-23,52423;-46,50831
2016; 1;-23,64328;-46,74622
2016; 7;-23,66838;-46,68937
2016; 1;-23,52908;-46,57674
2016; 7;-23,53611;-46,64265
2016; 5;-23,48056;-46,68208
2016; 7;-23,49682;-46,50177
2016; 7;-23,58221;-46,75661
2016; 6;-23,49348;-46,39354
2016;12;-23,54949;-46,63722
2016; 3;-23,63584;-46,74954
2016; 6;-23,47480;-46,64673
2016; 7;-23,75946;-46,67368
2016; 2;-23,47859;-46,60899
2016; 6;-23,60968;-46,63783
2016;12;-23,54225;-46,64551
2016; 2;-23,55214;-46,65284
2016;12;-23,47331;-46,66270
2016; 1;-23,58390;-46,53460
2016; 1;-23,62905;-46,58700
2016; 1;-23,67037;-46,64773
2016; 1;-23,51954;-46,67363
2016; 7;-23,67919;-46,75666
2016; 7;-23,53223;-46,47121
2016; 6;-23,52027;-46,42379
2016; 5;-23,48989;-46,46559
2016; 1;-23,52608;-46,50792
2016; 7;-23,47157;-46,63857
2016; 4;-23,74072;-46,69602
2016; 7;-23,57182;-46,70692
2016; 1;-23,72380;-46,68810
2016; 7;-23,57155;-46,70807
2016; 1;-23,50869;-46,40838
2016;12;-23,56410;-46,45908
2016; 3;-23,56808;-46,66626
2016; 2;-23,50579;-46,42832
2016; 7;-23,69362;-46,66566
2016;12;-23,57012;-46,69599
2016; 1;-23,61052;-46,49391
2016; 2;-23,49193;-46,37440
2016; 2;-23,54727;-46,64725
2016;12;-23,67266;-46,75251
2016; 6;-23,52126;-46,69908
2016; 7;-23,62898;-46,63649
2016; 6;-23,49878;-46,62660
2016; 7;-23,70219;-46,78453
2016; 6;-23,57755;-46,55348
2016;12;-23,65717;-46,75487
2016; 7;-23,52193;-46,70361
2016;12;-23,53495;-46,63961
2016; 6;-23,58353;-46,63770
2016; 7;-23,61788;-46,62823
2016; 2;-23,52403;-46,41827
2016; 7;-23,74804;-46,66649
2016;12;-23,75674;-46,66737
2016;12;-23,66605;-46,65639
2016; 2;-23,65331;-46,72504
2016; 7;-23,59875;-46,54201
2016;12;-23,59154;-46,52346
2016; 6;-23,55224;-46,63873
2016; 3;-23,61648;-46,59501
2016;12;-23,43785;-46,73070
2016; 1;-23,55352;-46,46359
2016; 6;-23,59548;-46,61363
2016; 2;-23,55207;-46,63605
2016; 4;-23,51272;-46,39637
2016;10;-23,64036;-46,78077
2016; 1;-23,56168;-46,63645
2016; 7;-23,59842;-46,46115
2016; 2;-23,59550;-46,61800
2016; 5;-23,61952;-46,60129
2016; 1;-23,46603;-46,65749
2016; 7;-23,53529;-46,40705
2016; 7;-23,62217;-46,46998
2016; 7;-23,66584;-46,71193
2016; 1;-23,54451;-46,48719
2016; 2;-23,69623;-46,66594
2016; 6;-23,69006;-46,76335
2016;12;-23,62310;-46,47576
2016; 1;-23,60408;-46,53628
2016; 7;-23,56525;-46,51810
2016; 7;-23,48113;-46,49878
2016; 3;-23,64489;-46,71635
2016; 7;-23,50248;-46,45323
2016;12;-23,54178;-46,64657
2016;12;-23,60542;-46,49499
2016; 4;-23,55388;-46,43716
2016; 5;-23,53089;-46,62550
2016;12;-23,50640;-46,36946
2016;12;-23,74019;-46,68698
2016; 7;-23,51078;-46,55890
2016; 1;-23,69520;-46,65291
2016;12;-23,50404;-46,43183
2016; 4;-23,63067;-46,46166
2016;10;-23,58361;-46,60071
2016; 7;-23,59120;-46,59251
2016; 5;-23,63465;-46,72424
2016; 1;-23,55630;-46,63632
2016; 5;-23,58383;-46,66993
2016;12;-23,75565;-46,68770
2016; 5;-23,56753;-46,40316
2016; 2;-23,60891;-46,45327
2016; 2;-23,58242;-46,49140
2016; 2;-23,50069;-46,38739
2016; 2;-23,67007;-46,65131
2016; 1;-23,49296;-46,39461
2016;12;-23,50227;-46,37606
2016; 1;-23,52377;-46,47507
2016; 5;-23,59907;-46,67395
2016; 1;-23,58063;-46,66361
2016; 6;-23,62495;-46,60981
2016; 7;-23,55359;-46,40643
2016; 2;-23,51749;-46,42757
2016; 2;-23,50765;-46,72290
2016; 5;-23,61768;-46,68431
2016; 8;-23,65290;-46,71238
2016; 6;-23,67905;-46,75430
2016; 6;-23,56677;-46,41877
2016; 4;-23,51175;-46,51132
2016; 4;-23,45804;-46,60509
2016;10;-23,54329;-46,44500
2016; 7;-23,64100;-46,76754
2016; 1;-23,63015;-46,68060
2016; 6;-23,62825;-46,73607
2016; 6;-23,54383;-46,64702
2016; 6;-23,57133;-46,50455
2016; 1;-23,63672;-46,59974
2016; 1;-23,53566;-46,44376
2016; 2;-23,55963;-46,41238
2016; 1;-23,46163;-46,71271
2016;12;-23,54801;-46,68621
2016; 4;-23,54160;-46,63950
2016; 2;-23,52778;-46,66735
2016; 1;-23,54988;-46,41831
2016; 7;-23,56119;-46,67574
2016; 2;-23,53079;-46,47463
2016; 7;-23,50200;-46,39942
2016; 7;-23,57360;-46,64598
2016; 8;-23,53243;-46,51790
2016; 2;-23,53939;-46,51803
2016; 7;-23,68179;-46,63924
2016; 7;-23,49923;-46,62121
2016; 5;-23,60002;-46,51201
2016; 1;-23,60708;-46,53226
2016; 7;-23,49847;-46,70222
2016; 7;-23,60539;-46,48016
2016; 7;-23,55397;-46,65581
2016; 6;-23,62666;-46,62104
2016; 6;-23,48559;-46,72435
2016; 4;-23,57367;-46,55480
2016; 1;-23,54880;-46,65152
2016; 6;-23,55911;-46,63740
2016; 4;-23,54114;-46,41095
2016; 7;-23,63600;-46,73916
2016;12;-23,69242;-46,77026
2016; 1;-23,70379;-46,79129
2016; 2;-23,48597;-46,57122
2016; 2;-23,61165;-46,47504
2016;10;-23,54819;-46,63915
2016;12;-23,54300;-46,39468
2016; 5;-23,47289;-46,56258
2016; 6;-23,59496;-46,78879
2016; 6;-23,56614;-46,75227
2016;11;-23,55061;-46,65500
2016;12;-23,59090;-46,72150
2016;12;-23,60210;-46,49241
2016;12;-23,61145;-46,47611
2016; 2;-23,71993;-46,69813
2016; 2;-23,53095;-46,54981
2016; 6;-23,55447;-46,66143
2016; 1;-23,58269;-46,65551
2016; 5;-23,54225;-46,64551
2016; 2;-23,47895;-46,74800
2016;12;-23,59814;-46,50765
2016; 6;-23,68353;-46,78937
2016; 1;-23,68122;-46,78309
2016; 5;-23,63256;-46,69329
2016; 5;-23,48495;-46,38850
2016; 2;-23,55544;-46,42354
2016;10;-23,56922;-46,47761
2016; 1;-23,61686;-46,74855
2016;12;-23,50573;-46,38093
2016; 1;-23,58313;-46,68311
2016; 7;-23,53974;-46,57997
2016;12;-23,62456;-46,50374
2016; 6;-23,48651;-46,50359
2016; 7;-23,59864;-46,73422
2016; 2;-23,52650;-46,66012
2016;12;-23,57958;-46,63939
2016; 2;-23,56535;-46,63133
2016; 6;-23,58435;-46,57824
2016; 2;-23,59027;-46,71533
2016; 7;-23,64179;-46,66142
2016;12;-23,58305;-46,71990
2016; 6;-23,54161;-46,64756
2016;12;-23,58883;-46,67644
2016;12;-23,54388;-46,64443
2016; 1;-23,52711;-46,41580
2016;12;-23,52851;-46,66541
2016; 6;-23,49682;-46,59693
2016;12;-23,64581;-46,77934
2016; 7;-23,58286;-46,53543
2016; 7;-23,65832;-46,67623
2016; 2;-23,45252;-46,59695
2016;12;-23,49094;-46,71889
2016; 1;-23,62028;-46,60096
2016; 4;-23,59333;-46,49785
2016; 7;-23,59907;-46,60951
2016;12;-23,63241;-46,73835
2016; 2;-23,55516;-46,66218
2016;12;-23,67699;-46,75363
2016; 2;-23,58163;-46,50951
2016; 7;-23,68353;-46,78937
2016; 6;-23,75172;-46,66884
2016; 9;-23,67584;-46,77407
2016; 2;-23,54819;-46,63915
2016; 7;-23,69120;-46,77507
2016;11;-23,60821;-46,62911
2016; 2;-23,59458;-46,75987
2016;10;-23,56777;-46,63521
2016; 6;-23,48811;-46,65746
2016;12;-23,64773;-46,60350
