LAW_CAT_CD;TYPE;BORO_NM;Day;Longitude;Latitude
FELONY;ROBBERY;BROOKLYN;3;-74,00818097;40,64199892
FELONY;ROBBERY;BROOKLYN;3;-73,93749702;40,70105807
FELONY;ROBBERY;BROOKLYN;22;-74,02846913;40,63701665
FELONY;ROBBERY;MANHATTAN;23;-73,92488901;40,86399722
FELONY;ROBBERY;QUEENS;24;-73,83343076;40,69541282
FELONY;ROBBERY;MANHATTAN;25;-73,94800965;40,81712482
FELONY;ROBBERY;QUEENS;28;-73,82411866;40,75588805
FELONY;ROBBERY;QUEENS;29;-73,81475528;40,73655304
FELONY;ROBBERY;MANHATTAN;6;-73,93782516;40,84806094
FELONY;ROBBERY;QUEENS;3;-73,75153928;40,69969798
FELONY;ROBBERY;QUEENS;2;-73,89734368;40,74454195
FELONY;ROBBERY;QUEENS;3;-73,84258861;40,78481693
FELONY;ROBBERY;QUEENS;4;-73,83651201;40,65360325
FELONY;ROBBERY;QUEENS;2;-73,7474254;40,69370266
FELONY;ROBBERY;MANHATTAN;10;-73,99490071;40,7158445
FELONY;ROBBERY;QUEENS;12;-73,74230009;40,69582674
FELONY;ROBBERY;QUEENS;13;-73,85831745;40,68172502
FELONY;ROBBERY;MANHATTAN;14;-73,96635808;40,76187469
FELONY;ROBBERY;QUEENS;15;-73,82043304;40,69040327
FELONY;ROBBERY;BROOKLYN;13;-73,94437767;40,67580147
FELONY;VANDALISM;QUEENS;14;-73,92573198;40,75339361
FELONY;VANDALISM;BROOKLYN;15;-73,96461767;40,60648715
FELONY;VANDALISM;BROOKLYN;12;-73,9781519;40,61700583
FELONY;VANDALISM;MANHATTAN;11;-73,9366201;40,80404601
FELONY;VANDALISM;BRONX;1;-73,85737077;40,89340055
FELONY;VANDALISM;QUEENS;7;-73,76940183;40,70705547
FELONY;VANDALISM;BROOKLYN;8;-73,94869783;40,67424444
FELONY;VANDALISM;BROOKLYN;9;-73,98140138;40,58932238
FELONY;ROBBERY;BROOKLYN;23;-73,92431104;40,68250374
FELONY;ROBBERY;QUEENS;29;-73,79562358;40,71176563
FELONY;ROBBERY;BROOKLYN;22;-73,95776879;40,68465082
FELONY;ROBBERY;QUEENS;21;-73,80818518;40,70240562
FELONY;ROBBERY;BROOKLYN;17;-73,97216572;40,67678594
FELONY;ROBBERY;QUEENS;12;-73,94984486;40,75012666
FELONY;ROBBERY;BROOKLYN;17;-73,94154507;40,58823031
FELONY;ROBBERY;BROOKLYN;17;-73,94561651;40,6774352
FELONY;RAPE;MANHATTAN;17;-74,01096627;40,70731886
FELONY;RAPE;BROOKLYN;12;-73,98712933;40,66620747
