latitude,longitude,x_sp,y_sp,health
40.72244934,-73.75141784,1053153.765,202582.0798,Good
40.81507296,-73.85774597,1023626.214,236262.1515,Good
40.74463336,-73.76587514,1049124.797,210653.3461,Good
40.70247894,-73.93164152,1003203.789,195215.8868,Good
40.65940865,-73.73430865,1057965.861,179628.5332,Good
40.66590621,-73.76457648,1049561.734,181971.7483,Good
40.54656173,-74.16996176,937014.4278,138449.5214,Fair
40.55073844,-74.16372306,938751.1231,139967.893,Good
40.49981553,-74.2445943,916225.1334,121467.9431,Good
40.64405061,-74.10658511,954671.1969,173939.3766,Good
40.70697057,-73.80812921,1037446.487,196903.1853,Good
40.84863742,-73.83402572,1030168.851,248502.4492,Good
40.80586148,-73.95789196,995907.2109,232876.9106,Good
40.76164252,-73.78089823,1044946.482,216839.5424,Good
40.69527274,-73.80538616,1038216.469,192643.0078,Fair
40.84589808,-73.8284015,1031726.816,247507.4066,Good
40.70800289,-74.00106147,983955.7106,197221.0321,Good
40.84016135,-73.85075645,1025545.352,245405.9748,Good
40.78064098,-73.75238374,1052826.099,223782.3333,Good
40.79167086,-73.82731956,1032065.106,227751.0984,Good
40.75808837,-73.89831747,1012420.045,215485.0907,Good
40.59327249,-73.93579925,1002080.135,155428.1118,Good
40.59205603,-74.15420955,941421.4367,155016.0883,Good
40.60063484,-74.13373825,947111.6911,158132.2195,Good
40.70560521,-74.00561833,982692.2757,196347.5348,Good
40.79478764,-73.95035534,997995.939,228843.4161,Good
40.53645153,-74.15664768,940708.0703,134759.2446,Fair
40.67563243,-73.98379975,988743.6616,185427.9389,Good
40.67718923,-73.97140331,992182.0274,185996.0044,Good
40.54877554,-74.2110751,925590.2216,139280.9147,Fair
40.68904993,-73.81037281,1036838.579,190372.8276,NA
40.545285990000004,-74.21767733,923752.2417,138014.0833,Good
40.66068938,-73.9518995,997595.2089,179987.0098,Good
40.69291254,-73.84789566,1026430.08,191759.7875,Good
40.52990674,-74.20654137,926833.9777,132403.5817,Good
40.7729365,-73.81971359,1034185.24,220929.7938,Fair
40.75149828,-73.86882848,1020593.238,213094.9705,Good
40.82006447,-73.94380238,999804.4594,238053.7533,Good
40.66375546,-73.76466743,1049538.606,181188.1049,Good
40.68545765,-73.86970044,1020387.439,189034.0111,Good
40.75465102,-73.97006869,992542.5759,214217.8196,Good
40.63456131,-73.99296812,986201.7192,170464.252,Good
40.67116542,-73.99555507,985483.0274,183800.0947,Fair
40.76334844,-73.72556223,1060273.899,217504.2461,Good
40.77245613,-73.91822647,1006899.587,220713.9631,Good
40.6653751,-73.93317556,1002788.758,181697.5556,NA
40.83930385,-73.86145476,1022585.652,245088.6926,Good
40.7113896,-73.83159494,1030937.489,198499.7904,Good
40.89696489,-73.87475316,1018875.932,266091.3078,Good
40.68561732,-73.7343462,1057926.485,189177.0239,Good
40.84055931,-73.85480873,1024423.856,245549.0815,Fair
40.72713773,-73.82032088,1034051.26,204243.5145,Good
40.66135651,-73.83700891,1029470.476,180268.4702,Fair
40.71866566,-73.95004832,998096.7656,201109.7491,Good
40.63484667,-73.96738131,993303.3759,170569.822,Good
40.70425379,-73.87677157,1018416.69,195879.1526,Good
40.50379475,-74.23769558,918147.6863,122912.3769,Fair
40.56172109,-74.15917033,940023.6022,143966.7974,Good
40.77017317,-73.73998848,1056270.217,219978.5201,Good
40.7164287,-73.98799661,987577.4904,200291.0371,Fair
40.5743734,-74.10392514,955379.2562,148553.2909,Good
40.68038834,-73.91039525,1009102.985,187172.9479,Good
40.68909409,-73.94458555,999617.8771,190336.8546,Fair
40.78703299,-73.81692191,1034947.735,226067.2133,Good
40.56108604,-74.12896968,948414.6806,143721.6335,Good
40.64416666,-73.87796173,1018117.201,173987.2521,Good
40.63094359,-73.96431779,994154.2417,169148.1588,Good
40.60052633,-73.96609554,993665.0842,158066.1596,Good
40.65476223,-73.93454136,1002412.741,177830.7061,Good
40.82312531,-73.94313385,999988.7697,239169.048,Good
40.66130136,-73.95576766,996521.8993,180209.406,Good
40.54565378,-74.21572794,924294.3525,138146.7372,Good
40.74352231,-73.713610310000007,1063608.389,210291.5844,Good
40.74096653,-73.8204388,1034008.249,209281.7016,Good
40.67515896,-73.7464485,1054581.067,185356.8118,Good
40.63430714,-73.93153382,1003253.064,170378.9975,Good
40.87172672,-73.84979599,1025791.391,256906.8888,Good
40.72252583,-73.78515468,1043802.301,202585.2117,Good
40.56199562,-74.10028701,956384.7782,144042.5857,Good
40.52911661,-74.21197721,925322.1838,132119.3273,Fair
40.58860369,-74.18900663,931754.5581,153777.2499,Good
40.74221231,-73.7142155,1063442.249,209813.7619,Good
40.75216115,-73.80417056,1038507.219,213369.9106,Good
40.82432335,-73.88001613,1017457.174,239623.1727,Good
40.50454651,-74.25024036,914659.818,123195.9764,Good
40.6522274,-73.9230593,1005599.465,176909.788,Fair
40.61133486,-73.96276647,994587.874,162004.3591,Good
40.75925066,-73.77843522,1045631,215969.8286,Good
40.76042984,-73.90793056,1009755.946,216335.2199,Good
40.59944532,-73.74620986,1054727.181,157772.591,Fair
40.78338082,-73.97495296,991186.3782,224684.6176,Good
40.72192824,-73.80647035,1037894.368,202353.7197,Good
40.75540118,-73.90798867,1009741.771,214503.1012,Good
40.63684254,-74.00127845,983895.1733,171295.2893,Good
40.58652588,-73.93314347,1002819.587,152970.7033,Good
40.8286136,-73.92449627,1005145.346,241172.5282,Good
40.58816428,-73.97151461,992161.701,153561.813,Fair
40.80718324,-73.91215335,1008569.026,233367.8653,Fair
40.79401667,-73.84275993,1027788.147,228597.7059,Poor
40.67596312,-73.94863047,998498.9193,185552.1785,Good
40.67569942,-73.93595318,1002015.426,185458.4228,Good
40.87410424,-73.87775231,1018058.405,257761.0882,Good
40.61380227,-73.98520505,988357.6604,162901.4495,Fair
40.67295312,-73.76255175,1050116.477,184540.6434,Good
40.71601487,-73.82332286,1033227.383,200189.4297,Good
40.69563401,-73.89397382,1013650.945,192732.4738,Good
40.66253149,-73.77151811,1047639.181,180737.1497,Good
40.53748375,-74.15615857,940844.6931,135135.0618,Good
40.60854467,-73.96896727,992866.5854,160987.1495,Good
40.54477334,-74.21906708,923365.5306,137828.2762,Good
40.6377319,-74.13573631,946577.785,171648.4921,Good
40.59816551,-73.96520766,993911.9833,157206.1476,Fair
40.72682879,-73.82100884,1033860.81,204130.5672,Poor
40.73288661,-73.7345165,1057827.059,206398.4311,Fair
40.61039081,-73.9348133,1002349.314,161664.9553,Good
40.68509528,-73.94025622,1000819.507,188880.7621,Good
40.75347899,-73.90408826,1010823.148,213803.9425,Fair
40.83208889,-73.91797955,1006947.634,242440.3249,Good
40.66264539,-73.85257102,1025152.115,180730.3965,Good
40.80690208,-73.93953682,1000988.396,233259.0119,Good
40.7867199,-73.97212364,991969.5269,225901.3954,Good
40.8094034,-73.94446061,999624.7343,234169.428,Good
40.53377233,-74.17142363,936599.029,133790.8434,Good
40.66868153,-73.9259246,1004799.335,182903.7996,Good
40.82695774,-73.95002142,998081.7115,240564.181,Good
40.61621293,-74.01575937,979874.7377,163779.7634,Poor
40.74690145,-73.90184158,1011448.296,211408.2229,Poor
40.7561496,-73.74914599,1053748.328,214861.8971,Good
40.67102598,-73.76088814,1050579.866,183839.7915,Good
40.73206324,-73.75213353,1052945.475,206084.1456,Good
40.76902745,-73.77683466,1046065.333,219532.9504,Good
40.64159275,-74.02483313,977358.2159,173026.8928,Good
